analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
54	ukb-b-13773	ukb-b-13773	Operative procedures - secondary OPCS: Y84.8 Other specified other anaesthetic	Operative procedures - secondary OPCS: Y84.8 Other specified other anaesthetic			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13773.vcf.gz				91179374	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1909	461101	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
55	ukb-b-13775	ukb-b-13775	PCT responsible for patient data: TRAFFORD PCT	PCT responsible for patient data: TRAFFORD PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13775.vcf.gz				116735920	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2855	460155	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
56	ukb-b-13782	ukb-b-13782	Diagnoses - secondary ICD10: Z86.7 Personal history of diseases of the circulatory system	Diagnoses - secondary ICD10: Z86.7 Personal history of diseases of the circulatory system			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13782.vcf.gz				180154766	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	10173	452837	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
57	ukb-b-13799	ukb-b-13799	Qualifications: Other professional qualifications eg: nursing, teaching	Qualifications: Other professional qualifications eg: nursing, teaching			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13799.vcf.gz				281963601	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	458079	131106	326973	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
58	ukb-b-13803	ukb-b-13803	Operative procedures - main OPCS: J18.3 Total cholecystectomy NEC	Operative procedures - main OPCS: J18.3 Total cholecystectomy NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13803.vcf.gz				181049423	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	10361	452649	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
59	ukb-b-13806	ukb-b-13806	Non-cancer illness code, self-reported: type 2 diabetes	Non-cancer illness code, self-reported: type 2 diabetes			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13806.vcf.gz				119040334	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2972	459961	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
60	ukb-b-13814	ukb-b-13814	Treatment speciality of consultant (recoded): Ear, nose and throat (ENT)	Treatment speciality of consultant (recoded): Ear, nose and throat (ENT)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13814.vcf.gz				216061104	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	445121	22802	422319	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
61	ukb-b-13815	ukb-b-13815	Operation code: ovarian/tubal surgery	Operation code: ovarian/tubal surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13815.vcf.gz				68953470	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1412	461521	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
62	ukb-b-13823	ukb-b-13823	Time to complete round	Time to complete round			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13823.vcf.gz				301569581	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	454157			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
63	ukb-b-13824	ukb-b-13824	Gas or solid-fuel cooking/heating: A gas hob or gas cooker	Gas or solid-fuel cooking/heating: A gas hob or gas cooker			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13824.vcf.gz				300427463	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	461398	323455	137943	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
64	ukb-b-13832	ukb-b-13832	Treatment/medication code: co-dydramol	Treatment/medication code: co-dydramol			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13832.vcf.gz				117878978	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2911	460022	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
65	ukb-b-13841	ukb-b-13841	Diagnoses - secondary ICD10: Y83.1 Surgical operation with implant of artificial internal device	Diagnoses - secondary ICD10: Y83.1 Surgical operation with implant of artificial internal device			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13841.vcf.gz				137031835	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	4135	458875	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
66	ukb-b-13845	ukb-b-13845	Diagnoses - secondary ICD10: R63.4 Abnormal weight loss	Diagnoses - secondary ICD10: R63.4 Abnormal weight loss			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13845.vcf.gz				114492038	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2751	460259	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
67	ukb-b-1386	ukb-b-1386	Diagnoses - main ICD10: K21.9 Gastro-oesophageal reflux disease without oesophagitis	Diagnoses - main ICD10: K21.9 Gastro-oesophageal reflux disease without oesophagitis			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1386.vcf.gz				142981133	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	4651	458359	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
68	ukb-b-13864	ukb-b-13864	Operative procedures - secondary OPCS: Z27.6 Ileum	Operative procedures - secondary OPCS: Z27.6 Ileum			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13864.vcf.gz				143715991	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	4720	458290	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
69	ukb-b-13883	ukb-b-13883	Non-cancer illness code, self-reported: haemorrhoids / piles	Non-cancer illness code, self-reported: haemorrhoids / piles			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13883.vcf.gz				57578759	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1228	461705	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
70	ukb-b-13891	ukb-b-13891	Mineral and other dietary supplements: Zinc	Mineral and other dietary supplements: Zinc			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13891.vcf.gz				207483576	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	461384	18826	442558	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
71	ukb-b-13896	ukb-b-13896	Type of large bap eaten: white	Type of large bap eaten: white			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13896.vcf.gz				55107243	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	64949	1184	63765	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
72	ukb-b-139	ukb-b-139	Other sweets intake	Other sweets intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-139.vcf.gz				261880778	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
73	ukb-b-1390	ukb-b-1390	PCT responsible for patient data: BRISTOL PCT	PCT responsible for patient data: BRISTOL PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1390.vcf.gz				158314287	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	6339	456671	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
74	ukb-b-13912	ukb-b-13912	PCT where patients GP was registered: HALTON AND ST HELENS PCT	PCT where patients GP was registered: HALTON AND ST HELENS PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13912.vcf.gz				99279318	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2154	460856	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
75	ukb-b-1392	ukb-b-1392	Type of cancer: ICD10: C61 Malignant neoplasm of prostate	Type of cancer: ICD10: C61 Malignant neoplasm of prostate			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1392.vcf.gz				168272186	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	7847	455163	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
76	ukb-b-13920	ukb-b-13920	Operative procedures - secondary OPCS: Y81.1 Epidural anaesthetic using lumbar approach	Operative procedures - secondary OPCS: Y81.1 Epidural anaesthetic using lumbar approach			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13920.vcf.gz				127071929	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	3424	459586	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
77	ukb-b-13922	ukb-b-13922	Sources of admission to hospital (recoded): Other admission source	Sources of admission to hospital (recoded): Other admission source			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13922.vcf.gz				99404227	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	461365	2158	459207	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
78	ukb-b-13932	ukb-b-13932	Duration of vigorous activity	Duration of vigorous activity			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13932.vcf.gz				294950918	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	251501			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
79	ukb-b-13936	ukb-b-13936	Ever tried to stop smoking	Ever tried to stop smoking			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13936.vcf.gz				234732666	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	35910			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
80	ukb-b-13952	ukb-b-13952	Illnesses of siblings: Chronic bronchitis/emphysema	Illnesses of siblings: Chronic bronchitis/emphysema			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13952.vcf.gz				180923535	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	361823	10325	351498	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
81	ukb-b-13978	ukb-b-13978	Average monthly intake of other alcoholic drinks	Average monthly intake of other alcoholic drinks			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13978.vcf.gz				232478311	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	34317			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
82	ukb-b-13979	ukb-b-13979	Non-cancer illness code, self-reported: fracture lower leg / ankle	Non-cancer illness code, self-reported: fracture lower leg / ankle			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13979.vcf.gz				90027483	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1878	461055	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
83	ukb-b-13994	ukb-b-13994	PCT where patients GP was registered: NEWCASTLE-UNDER-LYME PCT	PCT where patients GP was registered: NEWCASTLE-UNDER-LYME PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13994.vcf.gz				80280178	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1638	461372	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
84	ukb-b-13998	ukb-b-13998	Diagnoses - secondary ICD10: N84.0 Polyp of corpus uteri	Diagnoses - secondary ICD10: N84.0 Polyp of corpus uteri			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13998.vcf.gz				102183865	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2252	460758	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
85	ukb-b-14	ukb-b-14	Operative procedures - main OPCS: Q17.1 Endoscopic resection of lesion of uterus	Operative procedures - main OPCS: Q17.1 Endoscopic resection of lesion of uterus			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14.vcf.gz				145680299	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	4910	458100	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
86	ukb-b-14017	ukb-b-14017	PCT where patients GP was registered: NORTH TYNESIDE PCT	PCT where patients GP was registered: NORTH TYNESIDE PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14017.vcf.gz				149640419	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	5312	457698	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
87	ukb-b-14027	ukb-b-14027	Non-cancer illness code, self-reported: chickenpox	Non-cancer illness code, self-reported: chickenpox			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14027.vcf.gz				86723774	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1791	461142	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
88	ukb-b-14037	ukb-b-14037	Treatment/medication code: glucosamine product	Treatment/medication code: glucosamine product			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14037.vcf.gz				229360502	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	30643	432290	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
89	ukb-b-14043	ukb-b-14043	Illnesses of siblings: Alzheimer's disease/dementia	Illnesses of siblings: Alzheimer's disease/dementia			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14043.vcf.gz				97570055	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	361264	2094	359170	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
90	ukb-b-14050	ukb-b-14050	Why reduced smoking: Financial reasons	Why reduced smoking: Financial reasons			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14050.vcf.gz				135007268	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	14951	4012	10939	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
91	ukb-b-14057	ukb-b-14057	Non-cancer illness code, self-reported: hypertension	Non-cancer illness code, self-reported: hypertension			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14057.vcf.gz				280308061	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	119731	343202	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
92	ukb-b-14067	ukb-b-14067	6mm asymmetry angle (left)	6mm asymmetry angle (left)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14067.vcf.gz				251289853	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	51739			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
93	ukb-b-14068	ukb-b-14068	Impedance of leg (left)	Impedance of leg (left)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14068.vcf.gz				301923143	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	454857			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
94	ukb-b-14070	ukb-b-14070	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Insulin	Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Insulin			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14070.vcf.gz				91835010	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	249710	1918	247792	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
95	ukb-b-14080	ukb-b-14080	Current employment status: Unable to work because of sickness or disability	Current employment status: Unable to work because of sickness or disability			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14080.vcf.gz				205408066	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	461242	17977	443265	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
96	ukb-b-14085	ukb-b-14085	PCT where patients GP was registered: BERKSHIRE WEST PCT	PCT where patients GP was registered: BERKSHIRE WEST PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14085.vcf.gz				142399252	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	4594	458416	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
97	ukb-b-14086	ukb-b-14086	Diagnoses - main ICD10: N93.8 Other specified abnormal uterine and vaginal bleeding	Diagnoses - main ICD10: N93.8 Other specified abnormal uterine and vaginal bleeding			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14086.vcf.gz				67828733	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1392	461618	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
98	ukb-b-14108	ukb-b-14108	Type of special diet followed: Other	Type of special diet followed: Other			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14108.vcf.gz				99778665	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	64949	2215	62734	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
99	ukb-b-14116	ukb-b-14116	PCT where patients GP was registered: BATH AND NORTH EAST SOMERSET PCT	PCT where patients GP was registered: BATH AND NORTH EAST SOMERSET PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14116.vcf.gz				126318795	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	3376	459634	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
100	ukb-b-14145	ukb-b-14145	Celery intake	Celery intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14145.vcf.gz				262139143	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
101	ukb-b-14146	ukb-b-14146	Intra-ocular pressure, Goldmann-correlated (right)	Intra-ocular pressure, Goldmann-correlated (right)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14146.vcf.gz				274695024	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	97653			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
102	ukb-b-14147	ukb-b-14147	Risk taking	Risk taking			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-14147.vcf.gz				279652603	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	446279	117515	328764	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
