analysis_id	source_analysis_id	status	skip_reason	af_source	ancestry_reference_id	original_sd	original_sd_method	n_variants_considered	n_variants_overlapping	n_variants_excluded_ambiguous	n_variants_excluded_mismatch	n_variants_excluded_missing_af	n_variants_excluded_maf	n_variants_retained	maf_min	maf_max	implied_sd_median	sd_dispersion	estimator_version	sd_notes
GCST004420	GCST004420	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004421	GCST004421	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004422	GCST004422	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004423	GCST004423	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004424	GCST004424	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004425	GCST004425	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004426	GCST004426	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004427	GCST004427	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004428	GCST004428	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004429	GCST004429	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004430	GCST004430	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004431	GCST004431	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004432	GCST004432	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004433	GCST004433	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004434	GCST004434	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004435	GCST004435	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004436	GCST004436	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004437	GCST004437	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004438	GCST004438	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
GCST004439	GCST004439	failed	no_qualifying_evidence	source			estimated_from_source_maf	0						0	0.01	0.5			opengwasdb@d0b34c94cec2d40dfca3558a1d1bba9833e36e57	unavailable: no_qualifying_evidence
