analysis_id	source_analysis_id	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	ancestry_reference_id	af_overlap	dominant_superpop	dominant_proportion	runner_up_margin	nnls_residual	gate_reason	eaf_orientation	eaf_orientation_r	source_assigned_mismatch	ancestry_notes	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS
GCST90011815	GCST90011815	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011816	GCST90011816	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011817	GCST90011817	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011818	GCST90011818	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011819	GCST90011819	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011820	GCST90011820	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011821	GCST90011821	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011857	GCST90011857	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.986914	0.973829	0.0157554	ok	passed	0.962632	false		0	0	0	0.986914	0	0.0130857	0
GCST90011858	GCST90011858	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.986534	0.973069	0.0138546	ok	passed	0.962745	false		0	0	0	0.986534	0	0.0134657	0
GCST90011871	GCST90011871	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.953095	0.928069	0.0357142	ok	passed	0.97436	false		0.0250257	0.00846595	0.0027943	0.953095	0	0.009571	0.0010484
GCST90011874	GCST90011874	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011875	GCST90011875	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011885	GCST90011885	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011898	GCST90011898	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011899	GCST90011899	European		unassigned	ref_freqs.hg38.tsv.gz	0		0	0		overlap	unverified										
GCST90011994	GCST90011994	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.94354	0.924886	0.00981704	ok	passed	0.98271	false		0.0083879	0.0154318	0.0186539	0.94354	0.000222713	0.000949392	0.0128142
GCST90011995	GCST90011995	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.943512	0.924847	0.00976782	ok	passed	0.982718	false		0.00834035	0.0153946	0.0186646	0.943512	0.000241453	0.0010142	0.0128328
GCST90011996	GCST90011996	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.946893	0.9298	0.0105134	ok	passed	0.982352	false		0.00773042	0.0153027	0.017092	0.946893	0	0.000907742	0.0120746
GCST90011997	GCST90011997	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	0.949988	0.933991	0.0106685	ok	passed	0.982104	false		0.00764365	0.0143449	0.0159965	0.949988	0	0.000786562	0.0112407
